file,top_object,feature_name,guid,bucket,reason
objectTables/classes/beastheart.yaml,Beastheart,Recoveries,8a4f3c91-2bde-4e72-a51d-0f9c6e8b5d12,confident-internal,Recoveries carrier; stat shown natively (ruling 3)
objectTables/classes/beastheart.yaml,Beastheart,Handle Animals Skill,b5e72d6c-3a8f-49b1-9e44-7c2f1d63a098,confident-internal,skill/language grant; Skills & Languages section shows it (ruling 3)
objectTables/classes/beastheart.yaml,Beastheart,Ferocity,f1c8d4e5-6b29-4a3f-9d72-5e4c8b1f3a06,confident-internal,"summoner/companion system wiring carrier (app mechanics, no book-facing text)"
objectTables/classes/beastheart.yaml,Beastheart,Companion,9d2e8c47-5b1f-4a36-b974-3e6c1d8f5a29,confident-book,"default: has description, no plumbing signals (policy rule 1)"
objectTables/classes/beastheart.yaml,Beastheart,Rampage,5d8c1e93-3b7f-4a96-c428-1d5e6c8f3a72,confident-internal,"summoner/companion system wiring carrier (app mechanics, no book-facing text)"
objectTables/classes/beastheart.yaml,Beastheart,Rampage,8a4f2c91-3b6e-4d75-b528-9c1d3e7f5a82,confident-book,"default: has description, no plumbing signals (policy rule 1)"
objectTables/classes/beastheart.yaml,Beastheart,Kit,3e8c5d72-7b1f-4a96-c428-9d2e6c8f5a83,confident-book,description matches book text
objectTables/classes/beastheart.yaml,Beastheart,Heart of the Beast,6f000001-0000-4096-bcde-7d8e9f0a1b2c,confident-internal,"summoner/companion system wiring carrier (app mechanics, no book-facing text)"
objectTables/classes/beastheart.yaml,Beastheart,Heart of the Beast,6f000006-0000-4096-bcde-7d8e9f0a1b2c,confident-book,feature/perk-shaped ability grant; feature row stays visible (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Heart of the Beast (Revive),6f001001-0000-4096-bcde-7d8e9f0a1b2c,confident-internal,"summoner/companion system wiring carrier (app mechanics, no book-facing text)"
objectTables/classes/beastheart.yaml,Beastheart,Heart of the Beast (Revive),6f001006-0000-4096-bcde-7d8e9f0a1b2c,confident-book,feature/perk-shaped ability grant; feature row stays visible (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Bodyswap,5e8c4d72-7b1f-4a96-c428-9d2e6c8f5a01,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Come On!,7d3c5e84-2b1f-4a96-c528-8d1e6f3c5a02,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Covering Fire,9d4c2e83-5b1f-4a86-c628-7e1c3d6f5a03,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Stormrage,2c5e8d41-3b7f-4a96-b528-9c1d6e3f7a04,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Bring the Thunder,3f010001-0001-4096-bcde-7d8e9f0a1b2c,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Herd the Sheep,3f020001-0002-4096-bcde-7d8e9f0a1b2c,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Hungry Like the Wolf,3f030001-0003-4096-bcde-7d8e9f0a1b2c,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,Pushover,3f040001-0004-4096-bcde-7d8e9f0a1b2c,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,All of You Versus All of Me,4f010001-0001-4096-bcde-7d8e9f0a1b2c,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
objectTables/classes/beastheart.yaml,Beastheart,I Feed On Your Pain!,4f020001-0002-4096-bcde-7d8e9f0a1b2c,confident-internal,grants a Signature/Heroic ability; the ability card is the display (ruling 1)
